name,types,prerequisites,description,benefit,normal,special,goal,completion_benefit,prerequisite_feats,prerequisite_skills,prerequisite_race,suggested_traits,source

Narrow Frame,familiar/general,"Escape Artist 1 rank, animal or magical beast.",Your excellent coordination allows you to maneuver better in close quarters.,"You do not take penalties on your attack rolls or to your AC for squeezing through a narrow space that is at least half as wide as your normal space, though each move into or through a narrow space still counts as if it were 2 squares.",You take a -4 penalty on attack rolls and a -4 penalty to AC while squeezing.,,,,,Escape Artist 1,,,Animal Archive

Spell Sponge,familiar/general,"Animal companion or familiar, share spells ability.",Your mystical connection with your spellcasting master attunes you to helpful magical effects.,"Whenever your master targets you with a harmless spell with a target of ""you,"" the spell's duration is doubled as if modified by the Extend Spell metamagic feat. This does not affect spells with a duration of concentration, instantaneous, or permanent, or spells already modified by Extend Spell.",,,,,,,,,Animal Archive

Stable Gallop,familiar/general,Animal or magical beast.,You run with a smooth and steady gait.,Your AC penalty when charging is halved. The penalties on ranged attacks made by your rider are reduced by 1 when you take a double move and by 2 when you run (minimum penalty of 0). Your rider gains a +4 bonus on concentration checks caused by your motion.,,,,,,,,,Animal Archive

Sure-Footed,familiar/general,Quadruped animal or magical beast.,Your footing is secure in unstable terrain.,You gain a +2 bonus on Acrobatics checks to keep your balance and Reflex saves to avoid falling. You can move at a normal speed on steep slopes and  stairs and do not risk falling when running or charging downhill.,Moving uphill costs 2 squares of movement to enter each square of steep slope. Running or charging downhill requires a successful DC 10 Acrobatics check (or DC 10 Ride check for mounted characters) or you risk falling (Pathfinder RPG Core Rulebook 428).,,,,,,,,Animal Archive

Valiant Steed,familiar/general,Animal or magical beast.,Your courage is unnaturally strong.,"You gain a +4 morale bonus on saves against fear and emotion effects. If you can serve as a mount, your rider gains a +4 morale bonus on Handle Animal, Ride, and wild empathy checks to force you within range of a creature with the unnatural aura universal monster rule. In addition, the DC to push you with the Handle Animal skill does not increase if you are wounded or have taken any nonlethal damage or ability score damage.",The DC to push an animal increases by 2 if the animal is wounded or has taken any nonlethal damage or ability score damage.,,,,,,,,Animal Archive

Archon Diversion,combat,"Archon Style, Combat Expertise, Improved Unarmed Strike, base attack bonus +4 or monk level 4th.",You are able to throw yourself in front of danger to protect your friends.,"The penalty to AC for using Archon Style to grant nearby allies a bonus to AC against a single opponent decreases to -1, and you can spend a move action instead of a standard action to use this ability.  Once per round while using Archon Style, when you have at least one hand free, you can divert one melee weapon attack that would have struck an adjacent ally and take the blow in your ally's stead, using your own AC to determine whether the attack hits you. Whether or not a diverted attack actually hits you, the ally you protected can make an attack of opportunity against the diverted opponent. You expend no action to divert the attack, but you must be aware of it and must not be flat-footed. You must declare that you are using this feat after your opponent has declared the target of its melee attack but before it makes its attack roll.",,,,,"Archon Style, Combat Expertise, Improved Unarmed Strike",,,,Blood Of Angels

Archon Justice,combat,"Archon Diversion, Archon Style, Combat Expertise, Improved Unarmed Strike, base attack bonus +8 or monk level 7th.","Your righteous indignation knows no bounds, and foes that attack your companions soon learn the error of their foolish ways.","You no longer take a penalty to AC for using Archon Style to grant nearby allies a bonus to AC against a single opponent, and you can spend a swift action instead of a move action to use this ability.  Whenever you take damage from using Archon Diversion to divert an opponent's attack toward yourself, any allies threatening your opponent can make an attack of opportunity against the diverted opponent.",,,,,"Archon Diversion, Archon Style, Combat Expertise, Improved Unarmed Strike",,,,Blood Of Angels

Archon Style,style/combat,"Combat Expertise, Improved Unarmed Strike, base attack bonus +2 or monk level 2nd.","You have trained thoroughly to protect your allies from harm, even if it means temporarily sacrificing your own safety in the process.","While using this style, as a standard action, you can actively protect adjacent allies from a single opponent that you are currently adjacent to. This grants any adjacent allies a +2 dodge bonus to AC against that opponent's next melee attack (as long as that attack comes before the beginning of your next turn), but causes you to take a -2 penalty to AC against that opponent until your next turn. The dodge bonus persists even if your allies move away from you, but still only applies against attacks made by the opponent that you designated upon first using this ability.",,,,,"Combat Expertise, Improved Unarmed Strike",,,,Blood Of Angels

Banishing Critical,critical/combat,"Critical Focus, ability to cast dismissal or banishment, caster level 9th.","With your combination of combat and spellcasting prowess, you send otherworldly monsters back to their place of origin.","When you confirm a critical hit with a slashing or bludgeoning weapon, you may cast dismissal or banishment on that target as an immediate action, and the target takes a -4 penalty on its Will save to resist the spell's effect. You must have dismissal or banishment prepared or otherwise available to cast, and using this ability casts the corresponding spell.",,,,,Critical Focus,,,,Blood Of Angels

Blinding Light,racial/general,"Inner Light, aasimar, daylight spell-like ability.",You use your impenetrable luminescence to disorient harbingers of darkness.,"Whenever an enemy unsuccessfully attempts to counter or dispel your daylight spell-like ability, it must succeed at a Fortitude saving throw (DC 10 + 1/2 your character level + your Charisma modifier) or become blinded for 1 round as its mind is overwhelmed with celestial light. This is a supernatural mind-affecting effect.",,,,,Inner Light,,Aasimar,,Blood Of Angels

Consecrate Spell,racial/metamagic,"Aasimar, able to prepare or cast consecrate.","You infuse spells with heavenly power, drastically increasing their effectiveness against would-be heralds of evil.","A consecrated spell is treated as a maximized spell against evil creatures and creatures with the evil subtype. Against all other creatures, this feat does not modify the spell in any way (for example, a consecrated fireball acts as a normal fireball against neutral or good creatures). This feat does not stack with Maximize Spell. A consecrated spell uses up a spell slot two levels higher than the spell's actual level.",,,,,,,Aasimar,,Blood Of Angels

Inner Light,racial/general,"Aasimar, daylight spell-like ability.","Even when your innate powers over light fail you, you and your allies prove vigilant against dark forces, fighting until the end.","Whenever you cast your daylight spell-like ability, you do so as if your caster level were one higher. Whenever an enemy successfully counters or dispels your daylight spell-like ability, you and any allies within a 20-foot radius gain darkvision 60 feet for a number of rounds equal to your character level. This is a supernatural effect.",,,,,,,Aasimar,,Blood Of Angels

Revered Guidance,racial/general,"Aasimar, must be taken at 1st level.","You were selected by your celestial ancestor to be a guide for a chosen people, and serve as a beacon of hope in times of despair.","Select one of the following creature subtypes: dwarf, elf, gnome, halfling, human, or orc. You gain a +4 racial bonus on Diplomacy checks made to influence creatures of the selected subtype.",,,,,,,Aasimar,,Blood Of Angels

Sunlit Strike,general,"Arcane Strike, able to prepare or cast sunlight.","Your melee blows deal extra damage to creatures sensitive to light, making you adept at hunting foul monsters of the night.","Whenever you successfully hit an enemy that is vulnerable to light (such as by the light blindness, light sensitivity, or sunlight powerlessness universal monster rules) with a melee weapon you've imbued with your Arcane Strike feat, you deal an additional 1d6 points of damage to the target of your attack. The struck creature must also succeed at a Fortitude saving throw (DC 10 + your character level + your Strength modifier) or become staggered for 1 round.",,,,,Arcane Strike,,,,Blood Of Angels

Supernal Feast,racial/general,"Con 15, aasimar.",You sup on the blood of your ancestors to fuel your fury.,"Whenever you are adjacent to a good outsider that takes bleed or blood drain damage, you gain 1 temporary hit point as you bathe in the celestial being's gore. Furthermore, as a full-round action, you can feast on the fallen body of a good outsider that has been dead no longer than 24 hours. When you do, you regain 1 temporary hit point per Hit Die the outsider possessed at a rate of 1 hit point per minute. Temporary hit points gained from this feat last 1d4 hours.",,,,,,,aasimar,,Blood Of Angels

Ancestral Scorn,racial/general,"Intimidate 5 ranks, tiefling.",The fury you harbor for your fiendish ancestors gives evil outsiders great reason to fear you.,"Whenever you successfully demoralize an outsider of the evil subtype with an Intimidate check, it becomes sickened for 1 round in addition to being affected by the normal effects of being demoralized. If you beat the DC by 5 or more, the creature is nauseated for 1 round instead.","Demoralizing a foe with a successful Intimidate check causes it to become shaken for 1 round, +1 round for every 5 by which you beat the DC.",,,,,Intimidate 5,Tiefling,,Blood Of Fiends

Banner of Doom,racial/combat,"Base attack bonus +8, banner class feature, tiefling.",The mere sight of your fiendish banner is enough to send ripples of fear through your enemies.,"As long your banner is clearly visible, all enemies within 60 feet take a -2 penalty on saving throws against fear. This penalty does not stack with other effects that provide enemies with penalties on saving throws against fear.",,,,,,,Tiefling,,Blood Of Fiends

Blinding Sneak Attack,racial/combat,"Base attack bonus +5, darkness spell-like ability, sneak attack class feature, tiefling.","When you strike from the cover of darkness, you inject foes with a fraction of your foul magic.","When you successfully deal sneak attack damage to a foe while you are within an area of magical darkness, you temporarily blind your opponent for 1 round. A successful Fortitude save (DC 10 + the amount of sneak attack damage dealt) negates this effect.",,,,,,,Tiefling,,Blood Of Fiends

Fiendish Darkness,racial/general,"Darkness spell-like ability, tiefling.",You can use your darkness spell-like ability more often.,You can use darkness three times per day as a spell-like ability.,Tieflings can use darkness once per day as a spell-like ability.,,,,,,Tiefling,,Blood Of Fiends

Fiendish Facade,racial/general,"Must be taken at 1st level, tiefling.",You are easily mistaken for a member of another race. Your fiendish physical traits are normally hidden by clothing or appear to be markings of another race.,"You gain a +5 racial bonus on Disguise checks when attempting to impersonate a particular race. You must select the race you are able to impersonate when you select this feat, and thereafter you cannot change the race you have chosen. That race must be Medium size.",,,,,,,Tiefling,,Blood Of Fiends

Fiendish Resilience,racial/general,"Dex 13, evasion class feature, tiefling.",You dodge energy attacks with amazing agility.,"Choose one of the following energy types that you have resistance to: cold, electricity, or fire. Anytime you make a Reflex saving throw against an attack that deals the selected type of energy damage and is subject to your evasion class feature, you gain a +4 competence bonus on the save.",,"You can take this feat multiple times. Each time you take it, you select a different qualifying energy type.",,,,,Tiefling,,Blood Of Fiends

Fury of the Tainted,racial/combat,"Cha 13, rage class feature, tiefling.",The unstoppable anger you feel toward do-gooders and self-proclaimed saints makes you a force to be reckoned with.,"While raging, you gain a +4 competence bonus on saving throws made against spells and effects with the good descriptor.",,,,,,,Tiefling,,Blood Of Fiends

Improved Fiendish Darkness,racial/general,"Fiendish Darkness, darkness spell-like ability, caster level 3rd, tiefling.",Your innate ability to shroud others in darkness is further empowered.,"You gain a +2 bonus to your effective caster level when using your darkness spell-like ability. In addition, whenever you cast a spell with the evil descriptor that targets another creature, you can spend a swift action to apply the effects of your darkness spell-like ability to the spell cast, with the darkness effect centered on the spell's target. Using the darkness spell-like ability in this way expends all three uses of it for the day, and it cannot be used if fewer than three uses of it remain for that day.",,,,,Fiendish Darkness,,Tiefling,,Blood Of Fiends

Improved Fiendish Sorcery,racial/general,"Fiendish sorcery racial trait, tiefling.",Your skill with foul sorcery is even more potent than that of others of your race.,"If you are a sorcerer and possess the Rakshasa bloodline (Pathfinder RPG Ultimate Magic 68) or Shadow bloodline (Pathfinder RPG Advanced Player's Guide 140), treat  your Charisma score as 2 points higher for all sorcerer class abilities.",,,,,,,Tiefling,,Blood Of Fiends

Improved Fury of the Tainted,racial/combat,"Cha 13, Fury of the Tainted, base attack bonus +8, rage class feature, tiefling.",Your hatred for goodness is rivaled only by your ability to repel it.,"While raging, you gain spell resistance equal to 10 + your class level against spells with the good descriptor.",,,,,Fury of the Tainted,,Tiefling,,Blood Of Fiends

Monstrous Mask,racial/general,"Tiefling, must be taken at 1st level.",Your fiendish physical traits give you a twisted and fearsome appearance that strikes fear into others' hearts.,You get a +5 racial bonus on Intimidate checks made against all creatures of the humanoid type.,,,,,,,Tiefling,,Blood Of Fiends

Terrifying Mask,racial/general,"Cha 13, Monstrous Mask, tiefling.","Your fiendish visage has made you a truly terrifying spectacle to behold, and you can force others to betray their feelings with a single look.","Anytime you can make a Sense Motive check to get a hunch or detect whether someone is trustworthy or not, you can choose to instead make an Intimidate check at a -2 penalty. This ability only works on creatures of the humanoid type.",,,,,Monstrous Mask,,Tiefling,,Blood Of Fiends

Wicked Valor,racial/general,"Con 15, Diehard, Endurance, tiefling.",The fiendish blood that courses through your body causes your wounds to heal faster than usual.,"When you regain hit points by resting, you heal double the normal amount of damage. This feat does not stack with items or effects that also affect the amount of damage you recover from while resting. This feat only functions with a full night's rest; complete bed rest is not affected by this feat.",,,,,"Diehard, Endurance",,Tiefling,,Blood Of Fiends

Reckless Aim,combat,"Point-Blank Shot, Precise Shot.",Your lack of regard for others proves a boon when you fire projectiles into melee.,"When you shoot or throw ranged weapons at an opponent engaged in melee, you can choose to take a -1 penalty to your AC and gain a +2 competence bonus on your attack roll. However, when you roll a natural 1 on a ranged attack roll made with this bonus, you automatically hit a random adjacent creature that threatens your intended target.",,,,,"Point-Blank Shot, Precise Shot",,,,Blood Of Fiends

Conviction,general,Cha 13.,Your actions are bolstered by divine determination.,"When you present to a vampire a holy symbol or other object it is averse to, the DC for the creature to overcome such an aversion increases by 2.",,,,,,,,,Blood Of The Night

Hymn Singer,general,"Bardic performance, good alignment, worshiper of a good deity.",Your music is infused with your faith.,"When using bardic performance, you may choose to play, recite, or sing a religious song or piece of scripture of your faith. Each round of bardic performance you spend in this way, you count as presenting a holy symbol, chanting prayers, or ringing a hand bell for the purpose of keeping vampires at bay.",,,,,,,,,Blood Of The Night

Life-Dominant Soul,racial/general,Dhampir.,You gain unusual resiliency from your mortal heritage.,"You are healed by channeled positive energy used to heal living creatures and channeled negative energy used to heal undead, but both only heal half the normal amount. You still take damage from positive energy used to harm undead, such as that from channeled energy and lay on hands.",,,,,,,Dhampir,,Blood Of The Night

Potent Holy Symbol,general,"Good alignment, worshiper of a good deity.","In your pious hands, your holy symbol is a shining light of faith.","Any round in which you use your holy symbol as a divine focus for the casting of a spell or to channel positive energy, you count as presenting a holy symbol, chanting prayers, or ringing a hand bell for the purpose of keeping vampires at bay.",,,,,,,,,Blood Of The Night

SchooledResolve,general,Bravery class feature.,Your intensive combat training to fight vampiric forces allows you to fight off their mental spells and effects using your resistance to fear.,You add your bravery bonus on Will saves against mind-affecting spells and effects from vampires. This does not stack with the normal bravery bonus on saves against fear effects.,,,,,,,,,Blood Of The Night

Famine Tolerance,racial/general,Moroi or nosferatu.,"You can abide much longer periods without feeding, and enjoy increased benefits from a meal.","You can go without feeding for a number of days equal to twice your Hit Dice before having to make hunger saves. When you use your blood drain ability, you gain twice the normal amount of temporary hit points for each feeding.",,This feat is only for campaigns using the optional undead hunger rules (see page 22).,,,,,"Moroi, Nosferatu",,Blood Of The Night

VampiricCompanion,racial/general,"Dhampir or vampire, nongood alignment, 10 levels in a class that grants a familiar or animal companion.","Just as your undead existence mocks nature, so too are you granted a twisted companion that reflects the vile nature of vampirism.","Your animal companion or familiar's type changes to ""undead."" The creature gains your vampire or dhampir weaknesses and fast healing 5. If you are a vampire, the creature also gains the following abilities, depending on what type of vampire you are.  Jiang-Shi: If the creature is adjacent to you or you are sharing a square, it gains the benefit of your prayer scroll ability. The creature crumbles into dust if destroyed ( just like a jiang-shi), but is not permanently destroyed unless measures are taken that would destroy a jiang-shi.  Moroi: If the creature is adjacent to or in your square when you assume gaseous form, it transforms with you and follows you; its transformation ends when yours does. If reduced to 0 hit points, it is forced into gaseous form and must return to your coffin to reform (or the foot of your coffin if it cannot fit within it).  Nosferatu: If the creature is adjacent to or in your square when you assume swarm form, it transforms with you and follows you; its transformation ends when yours does. The creature can climb as if using spider climb, even if its anatomy is not suitable for climbing (such as a horse).  Vetala: The creature may use malevolence and possession as if it were a vetala, but by touch and only affecting creatures or corpses that are the same type of creature as the animal companion or familiar (such as bear, horse, or snake). If reduced to 0 hit points in combat, the creature is helpless and its fast healing ceases to function for 1 hour (additional damage or desecration has no effect); after 1 hour it regains 1 hit point and is no longer helpless, and its fast healing resumes. It can be permanently destroyed as if it were a vetala.",,"If your animal companion or familiar is destroyed, dismissed, or lost, you may apply the effects of this feat to the replacement creature. If you are destroyed, the creature retains its undead type but loses all other special abilities from this feat. If you have more than one animal companion or familiar, choose one of them when you select this feat and apply its effects to that creature.  You may select this feat more than once. Each time you select the feat, it applies to a different animal companion or familiar.",,,,,"Dhampir, Vampire",,Blood Of The Night

Variant Prayer Scroll,racial/general,Jiang-shi.,You have learned the secret to changing the powers granted by your prayer scroll.,"You gain the ability to create a different type of prayer scroll. You may create a prayer scroll with this ability by using any strip of parchment and a writing instrument, but doing so requires 10 minutes of uninterrupted work. Swapping your current prayer scroll for a different prepared one is a standard action. When wearing a different prayer scroll, you gain its special abilities, but lose your normal prayer scroll's immunity to spell completion and spell trigger magic items. Your prayer scrolls can be used only by you, and have no effect when used by other jiang-shis. When you choose this feat, select one of the following prayer scroll types.  Embalmed Form: This prayer scroll alters your physical form to how you looked 1 day before your death. Treat this as an alter self spell that affects you regardless of your original or current type; your caster level is equal to your Hit Dice. Your speed increases by 10 feet, but you lose your immunity to trip attacks and your ability to move through difficult terrain unhindered. These effects persist indefinitely as long as you wear the prayer scroll, but end immediately if you use a different prayer scroll or 24 hours after you remove this prayer scroll.  Enduring Dust: If you crumble into dust from hit point damage, you reform after 1 round instead of 1 minute. Scattering your dust does not prevent you from reforming as long none of your dust is more than 30 feet from any other part of your dust. Storing a portion of your dust in an air-tight container prevents you from reforming. If you are unable to reform after 1 minute, you are destroyed.  Positive Energy Immunity: You become immune to positive channeled energy used to harm undead. This does not protect you against positive energy from other sources such as cure spells or lay on hands.  Spell Immunity: The prayer scroll grants you immunity to a spell, as if you were using spell immunity. You decide which spell when you create the prayer scroll, and can choose a different spell each time you create a new spell immunity prayer scroll. If you have 15 or more Hit Dice, this functions as greater spell immunity. Creating this type of prayer scroll costs 100 gp x the spell level of the spell keyed to the scroll.",,"You may select this feat multiple times. Each time you do so, choose another ability granted by the feat.",,,,,Jiang-shi,,Blood Of The Night

Blinding Flash,combat,"Dex 13, Combat Expertise.",You can temporarily blind your opponent by using your weapon or shield to flash sunlight into its eyes.,"As a move action, you can expertly angle  the blade of your weapon or shield to reflect light into an opponent's eyes, dazzling your foe for 1 round. This feat functions as a gaze attack, and the target must make a Fortitude save (DC 10 + 1/2 your character level + your Dex modifier) to resist the effect. This is a sight-dependent effect, and does not work on creatures that are already blinded or creatures that do not rely on sight as their primary sense. You must be wielding a weapon or shield with a polished or reflective surface in order to use this feat. You must be in an area of bright light to use this feat.",,,,,Combat Expertise,,,,Dragon Empires Primer

Disorienting Blow,combat,"Stunning Fist, base attack bonus +11.","When you successfully strike your opponent with your Stunning Fist, you leave it in a state of confusion.","You must choose to use this ability before making an attack roll with your Stunning Fist, and this effect replaces other effects or conditions that would be caused by Stunning Fist. If you successfully hit your opponent and it fails its Fortitude save, it becomes confused for 1 round. Additional disorienting blows to the confused target add to the duration of its confusion. This feat is otherwise subject to all of the limits and conditions of Stunning Fist.",,,,,Stunning Fist,,,,Dragon Empires Primer

Enhanced Ki Throw,combat,"Ki pool class feature, Ki Throw (see the Pathfinder RPG Advanced Player's Guide).","You enhance the force of your ki throws, enabling you to devastate your opponents as you slam them to the ground.","When using the Ki Throw feat, you can expend 1 ki point to amplify the force of your attack. If your ki throw succeeds, when the target hits the ground, it takes damage as if you had hit it with an unarmed strike.",,,,,Ki Throw,,,,Dragon Empires Primer

Feinting Flurry,combat,"Dex 15, flurry of blows class feature, Combat Expertise.","Your subtle flourishes mislead your enemy, tricking it into changing its footing.","While using flurry of blows to make melee attacks, you can forgo your first attack to make a Bluff check to feint.",,,,,Combat Expertise,,,,Dragon Empires Primer

Hold the Blade,combat,"Improved Disarm, base attack bonus +10.",You can take your opponent's weapon after being stabbed in the back.,"Whenever an enemy deals damage to you with a melee weapon as part of a flanking attack or sneak attack, you can make a combat maneuver check to disarm against that opponent as an immediate action. You must have at least one hand free when you use this feat. When you use this feat, you take a -4 penalty to your AC until your next turn. You can only use this feat once per round.",,,,,Improved Disarm,,,,Dragon Empires Primer

Improved Feinting Flurry,combat,"Dex 17, flurry of blows class feature, Combat Expertise, Feinting Flurry, base attack bonus +6.",Your first melee attack throws your opponent completely off guard.,"While using Feinting Flurry, if you successfully feint, your opponent is denied its Dexterity bonus to AC until the end of your turn.",A successful feint causes your opponent to be denied its Dexterity bonus to AC against your next attack.,,,,"Combat Expertise, Feinting Flurry",,,,Dragon Empires Primer

Quivering Palm Adept,combat,Quivering palm class feature.,Your quivering palm strikes are more potent than most.,Add +2 to the saving throw DC against your quivering palm attacks.,,,,,,,,,Dragon Empires Primer

Quivering Palm Versatility,combat,"Quivering palm class feature, base attack bonus +13.","You can alter the way you apply a quivering palm's vibrations to an opponent's body to cause extreme pain, put it in a coma, or destroy its memories.","After successfully using your quivering palm attack on a creature, you can produce one of the following effects instead of killing the creature, as long as you do so within a number of days equal to your monk level.  Coma: The subject falls unconscious and is helpless for a number of days equal to your monk level.  Memory Loss: The subject falls unconscious for 24 hours and awakens with huge gaps in its memory. The target's memories of the recent past (a number of consecutive days equal to your monk level) are completely obliterated, and can only be restored by a wish or miracle spell.  Pain: The subject takes 1d6 points of nonlethal damage per monk level you possess.   You must choose the desired effect before the quivering palm's attack roll is made. Unless the target succeeds at its Fortitude save against your quivering palm attack, it succumbs to the desired effect when you will it (a free action). This feat is otherwise subject to all of the limits and conditions of quivering palm.",,,,,,,,,Dragon Empires Primer

Sleeper Hold,combat,"Greater Grapple, base attack bonus +8.","By maintaining a grapple hold on your opponent, you can cause it to lose consciousness.","You must declare that you are using this feat before you make a combat maneuver check to maintain a grapple (thus a failed check to maintain the grapple ruins the attempt). If you maintain a grapple for a number of consecutive rounds equal to your opponent's Constitution bonus (minimum 1 round), you can attempt to knock out your opponent. The victim must succeed at a Fortitude save (DC 10 + 1/2 your character level + your Str modifier) or else it falls unconscious for 1d4 rounds. Each successive round you attempt this, the target takes a cumulative -1 penalty on its saving throw. When you use this feat, you take an additional -2 penalty to your AC. Creatures that are immune to bleed damage, stunning, or critical hits are immune to this ability.",,,,,,,,,Dragon Empires Primer

Stunning Fist Adept,combat,"Stunning Fist, base attack bonus +3.",Your Stunning Fist strikes become even deadlier.,"Add +1 to the saving throw DC against your Stunning Fist attacks. This bonus does not stack with feats that grant you bonuses to the DC for saving throws against your Stunning Fist attacks, such as Mantis Style (see Pathfinder RPG Ultimate Combat).",,,,,Stunning Fist,,,,Dragon Empires Primer

Arcane Trap Suppressor,general,Ability to cast dispel magic or greater dispel magic as a spell or spell-like ability.,Your magic can suppress magic traps longer than usual.,"When you target a magic trap with dispel magic or greater dispel magic, if your caster level check exceeds the Disable Device DC of the trap, the trap is disabled for 1d4 minutes.",Dispel magic suppresses an item's magical properties for 1d4 rounds.,,,,,,,,Dungeoneer's Handbook

Close Call,general,Deft Hands.,Your nimble fingers are able to catch small slips before they become big disasters.,"Once per day, you may reroll either a Disable Device or Sleight of Hand check. You must decide to use this ability after the first attempt but before the results are revealed by the GM. You must take the second roll, even if it's worse.",,,,,Deft Hands,,,,Dungeoneer's Handbook

Tactical Reposition,combat,"Int 13, Combat Expertise, Improved Reposition.",You excel at moving foes right where you want them.,"When making a reposition combat maneuver (Pathfinder RPG Advanced Player's Guide 322), you can move an enemy into a trap or other hazardous area, such as a pit, wall scythe, or blade barrier. When you do so, the  moved enemy is treated as though it had activated the trap or triggered the hazard, and it takes a -2 penalty to AC and on saving throws to mitigate the trap or hazard's effects.",You cannot reposition a foe into an intrinsically dangerous space such as a pit or blade barrier.,,,,"Combat Expertise, Improved Reposition",,,,Dungeoneer's Handbook

Coaxing Spell,metamagic,"Spell Focus (enchantment), Knowledge (dungeoneering) 6 ranks.",Your charms and enchantments reach the minds of even the lowliest dungeon denizens.,"This feat only works with mind-affecting effects. A coaxing spell affects mindless oozes and vermin as if they weren't mindless, but has no effect on other creature types. A coaxing spell uses a spell slot 2 levels higher than the spell's actual level.",,,,,Spell Focus,Knowledge (dungeoneering) 6,,,Dungeoneer's Handbook

Dampen Presence,general,"Skill Focus (Stealth), Stealth 5 ranks.",Your habitual stillness makes you difficult to perceive for creatures that use blindsight or blindsense.,"You may use the Stealth skill to hide from any creature attempting to perceive you using blindsight or blindsense, even if you are clearly in that creature's perceptual field. This feat does not confer any advantages against other forms of perception, such as scent, vision, or tremorsense.",,,,,Skill Focus,Stealth 5,,,Dungeoneer's Handbook

Cursed Item Detection,general,"Spellcraft 5 ranks, ability to cast detect magic as a spell or spell-like ability.",Your arcane prowess is so great that even cursed items fail to befuddle you.,"You gain a +2 bonus on checks made to identify the properties of magic items. In addition, you need only exceed the DC of these checks by 5 in order to determine whether or not an item is cursed.","Unless the check made to identify a cursed item exceeds the DC by 10 or more, the item's curse cannot be detected.",,,,,Spellcraft 5,,,Dungeoneer's Handbook

Ostentatious Display,general,,Your extravagant jewelry and accessories give you an air of importance you can use to your advantage in many social situations.,"As long as you are wearing a valuable nonmagical item in a magic item slot, you gain a +1 bonus on skill checks with a corresponding skill. Bonuses from wearing items in multiple slots that affect the same skill do not stack.  Each item must be worth at least 5% of your character wealth by level (see Table 12-4 on page 399 of the Pathfinder RPG Core Rulebook). For example, a 6th-level PC gains a +1 bonus on Bluff checks while wearing a gem-studded tiara (which fills the headband slot) worth at least 800 gp. When she reaches 7th level, she must wear an accessory in the appropriate slot worth at least 1,175 gp in order to continue gaining this bonus.   Item Slot Skill Bonus  Belt, chest, shoulders +1 Intimidate  Body, feet, neck +1 Diplomacy  Eyes, hands, headband +1 Bluff  Head, ring, wrists +1 Perform (any)",,,,,,,,,Dungeoneer's Handbook

TORCH HANDLING,general,,"In your grasp, a simple torch becomes a beacon.","You gain three benefits upon taking this feat. First, you treat torches as simple weapons. Second, the radius of normal and increased illumination shed by any torch or mundane light source you carry increases by 10 feet. Finally, once per day you may reroll a single saving throw to resist any effect that would otherwise extinguish your light source, such as having water thrown at you, being targeted by a quench spell, and so on.",,,,,,,,,Dungeoneer's Handbook

Firebrand,combat,Worshiper of Asmodeus,"You can make use of a torch as a deadly, macelike weapon.","You treat a torch as a light weapon that deals bludgeoning damage equal to that of a light mace of its size, plus 1 point of fire damage, and you do not incur penalties as you would for using it as an improvised weapon.","A torch used in combat is treated as a one-handed improvised weapon that deals bludgeoning damage equal to that of a gauntlet of its size, plus 1 point of fire damage.",,,,,,,,Faiths Of Corruption

Altitude Affinity,general,Endurance.,You have hardened your body against the grueling rigors of surviving at high altitudes.,"You are automatically acclimated at high altitudes (Pathfinder RPG Core Rulebook 430). In addition, you gain a +2 competence bonus on all Survival checks made at altitudes of 5,000 feet or higher.",,,,,Endurance,,,,Inner Sea World Guide

Andoren Falconry,general,"Cha 13, Animal Affinity, animal companion class feature.",You know the secret Andoren arts of falconry developed by the Novotnian family of Darkmoon Vale.,"You improve your affinity with birds of prey, such as eagles, falcons, hawks, and owls. You gain a +2 bonus on Animal Handling checks made to train or control birds of prey. In addition, if you have a bird of prey as an animal companion, your animal companion gains one of the following bonuses chosen at the time this animal companion is gained: a +1 dodge bonus to AC, a +1 morale bonus on all attack rolls, or a +2 morale bonus on all Will saves.",,,,,Animal Affinity,,,,Inner Sea World Guide

Arcane Vendetta,general,Spellcraft 1 rank.,The mistreatment of your people by an arcane society (such as Numeria's Technic League or the White Witches of Irrisen) has made you particularly eager to inflict harm on those who use arcane magic.,You deal +2 damage with weapon attacks made against any target you have witnessed casting an arcane spell (not using a spell-like ability) in the last 5 rounds. You must have successfully identified the spell with a Spellcraft check to know without a doubt that the spell is arcane.,,,,,,Spellcraft 1,,,Inner Sea World Guide

Careful Speaker,general,Wis 13.,The paranoid terror that comes from living in a region with a dangerous government (such as Cheliax or Galt) has made you unusually aware of what you say.,"You gain a +2 bonus on all Bluff checks made to fool someone or pass secret messages (but not to feint in combat), and a +2 bonus on all Will saves against attempts to scry upon you or read your mind.",,,,,,,,,Inner Sea World Guide

Demon Hunter,combat,Knowledge (planes) 6 ranks.,You are well-versed in demonic lore.,You gain a +2 bonus on Knowledge (planes) checks to know the powers and abilities of demons. You gain a +2 morale bonus on all attack rolls and a +2 morale bonus on caster level checks to penetrate spell resistance made against creatures with the demon subtype you recognize as demons.,,,,,,Knowledge (planes) 6,,,Inner Sea World Guide

